player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"GOAT",zQzHYg1f_X,2021-04-27T01:07:24.464Z,2021-04-27T02:47:40.996Z,2500,0,0,-2500
"Ray",gpL6BdHM3Z,2021-04-27T00:54:23.887Z,2021-04-27T01:57:25.022Z,2000,0,0,-2000
"Cedric",UOl9ieuNTH,2021-04-27T00:52:33.852Z,2021-04-27T02:32:23.616Z,2000,1812,0,-188
"Fish",L5G0fi1P1T,2021-04-27T00:49:31.831Z,,1000,,4228,3228
"GOAT",zQzHYg1f_X,2021-04-27T00:43:00.161Z,2021-04-27T01:04:22.674Z,2000,0,0,-2000
"GOAT",zQzHYg1f_X,2021-04-27T00:12:22.205Z,2021-04-27T00:40:09.635Z,1000,0,0,-1000
"Cedric",UOl9ieuNTH,2021-04-27T00:12:22.212Z,2021-04-27T00:50:51.277Z,1000,0,0,-1000
"Fish",L5G0fi1P1T,2021-04-27T00:12:22.208Z,2021-04-27T00:48:15.485Z,1000,0,0,-1000
"Scotty",-4Mt9GCcpf,2021-04-27T00:12:22.202Z,2021-04-27T02:31:54.845Z,1000,7460,0,6460
